Month,Trend
2010-07,14
2010-08,9
2010-09,9
2010-10,10
2010-11,9
2010-12,9
2011-01,11
2011-02,10
2011-03,11
2011-04,12
2011-05,10
2011-06,10
2011-07,10
2011-08,9
2011-09,10
2011-10,12
2011-11,11
2011-12,11
2012-01,11
2012-02,15
2012-03,12
2012-04,12
2012-05,14
2012-06,14
2012-07,14
2012-08,13
2012-09,15
2012-10,15
2012-11,21
2012-12,15
2013-01,16
2013-02,22
2013-03,22
2013-04,25
2013-05,41
2013-06,33
2013-07,34
2013-08,46
2013-09,34
2013-10,35
2013-11,35
2013-12,26
2014-01,25
2014-02,34
2014-03,39
2014-04,35
2014-05,36
2014-06,35
2014-07,40
2014-08,33
2014-09,32
2014-10,43
2014-11,29
2014-12,28
2015-01,34
2015-02,34
2015-03,32
2015-04,36
2015-05,49
2015-06,36
2015-07,39
2015-08,42
2015-09,46
2015-10,44
2015-11,34
2015-12,33
2016-01,34
2016-02,41
2016-03,47
2016-04,100
2016-05,46
2016-06,44
2016-07,49
2016-08,41
2016-09,40
2016-10,46
2016-11,44
2016-12,40
2017-01,41
2017-02,44
2017-03,46
2017-04,55
2017-05,54
2017-06,53
2017-07,80
2017-08,61
2017-09,54
2017-10,54
2017-11,81
2017-12,61
2018-01,60
2018-02,78
2018-03,60
2018-04,62
2018-05,67
2018-06,62
2018-07,68
